objectid,treelatitude,treelongitude,centerlatitude,centerlongitude,dbh,species,creationdate,roadsidebydate,roadsidebycoord,isatcorrectsideofroad,truetreelongitude,truetreelatitude
83,466915.9105439785,258393.30003536888,466915.92247224116,258393.29981944175,12,1,11/14/2021 15:42,N/W,S/E,False,258393.26030766944,466918.1051844297
84,466914.20977893315,258386.3520731472,466915.3905456492,258386.30315240205,12,1,11/14/2021 15:43,N/W,S/E,False,258386.26120931283,466916.4028974351
85,466917.74874643976,258380.31134504752,466914.9439318766,258380.42854155763,16,1,11/14/2021 15:43,N/W,N/W,True,258380.2169954229,466920.00677614467
86,466917.44636231713,258370.39421458106,466914.1914293495,258370.53016141034,17,1,11/14/2021 15:44,N/W,N/W,True,258370.29922662908,466919.7206295291
87,466919.56753555086,258366.76221406466,466913.9228915405,258366.9977650665,17,0,11/14/2021 15:45,N/W,N/W,True,258366.66730874698,466921.8418062127
88,466914.1912891664,258357.0503119238,466913.740418066,258357.05426437611,12,1,11/14/2021 15:46,N/W,N/W,True,258357.03107072724,466916.38620483136
89,466914.3608188384,258350.7676968985,466913.81845868134,258350.7724123951,17,0,11/14/2021 15:46,N/W,N/W,True,258350.7479070165,466916.63698280946
90,466913.9497092769,258343.32183087541,466913.900193539,258343.32355974615,17,0,11/14/2021 15:47,N/W,N/W,True,258343.242402686,466916.2245730586
91,466911.9288503659,258337.29578218985,466913.63204970927,258337.24557811962,16,1,11/14/2021 15:47,N/W,S/E,False,258337.22919459947,466914.1878692
92,466914.27002650395,258332.04005741124,466913.4035463499,258332.06598828657,18,1,11/14/2021 15:48,N/W,N/W,True,258331.97148119638,466916.5615006043
93,466913.4116341375,258314.18343563966,466912.6226301913,258314.19048037945,12,1,11/14/2021 15:49,N/W,N/W,True,258314.16383803487,466915.6065466492
94,466912.53222888114,258312.35668804526,466912.6436543689,258312.35596627137,19,0,11/14/2021 15:49,N/W,S/E,False,258312.341733114,466914.84093044535
95,466915.7171034783,258303.89994226932,466912.74027525185,258303.9258448845,17,0,11/14/2021 15:50,N/W,N/W,True,258303.8801364252,466917.99326731055
